QuestionID,QuestionText,Subject,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,irt_a,irt_c,irt_b,difficulty
AR028,ضد كلمة صادق هو,ARABIC,أمين,كاذب,مخلص,وفي,B,1.0,0.25,-1.01160091167848,Easy
AR029,ما نوع التفكير في: تخيل الطالب المستقبل,ARABIC,ناقد,خيالي,علمي,منطقي,B,1.0,0.25,-1.01160091167848,Easy
AR030,ما نوع الأسلوب في: نعم الخلق الصدق,ARABIC,مدح,ذم,تعجب,استفهام,A,1.0,0.25,-1.5314763709643888,Easy
AR031,ما نوع الخبر في: الصدق منجاة,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-1.2527629684953683,Easy
AR032,مرادف كلمة فصيح هو,ARABIC,بليغ,غامض,ضعيف,عامي,A,1.0,0.25,-0.6931471805599453,Medium
AR033,ضد كلمة نشيط هو,ARABIC,كسول,سريع,مجتهد,حيوي,A,1.0,0.25,-2.3978952727983707,Easy
AR034,نوع الأسلوب في: هيا إلى العمل,ARABIC,أمر,نهي,نداء,تعجب,A,1.0,0.25,1.1631508098056809,Hard
AR035,إعراب كلمة جميل في: المنظر جميل,ARABIC,نعت,حال,خبر,مفعول به,C,1.0,0.25,-1.6094379124341003,Easy
AR036,جمع كلمة طريق هو,ARABIC,طرقات,طرق,طرائق,طريقون,B,1.0,0.25,-0.6931471805599453,Medium
AR037,مرادف كلمة قوي هو,ARABIC,ضعيف,شديد,واهٍ,لين,B,1.0,0.25,-4.304065093204168,Easy
AR038,ضد كلمة قديم هو,ARABIC,حديث,عتيق,قديم,أثري,A,1.0,0.25,-1.8718021769015918,Easy
AR039,ما نوع التفكير في: ربط الأسباب بالنتائج,ARABIC,خيالي,علمي,منطقي,ناقد,C,1.0,0.25,-1.178654996341646,Easy
AR040,ما نوع الأسلوب في: سبحان الله,ARABIC,تعجب,إنشاء غير طلبي,استفهام,نداء,B,1.0,0.25,1.519825753744413,Hard
AR041,مرادف كلمة سريع هو,ARABIC,بطيء,خاطف,متأخر,ثابت,B,1.0,0.25,-0.3364722366212129,Medium
AR042,ضد كلمة نافع هو,ARABIC,مفيد,ضار,صالح,نافع,B,1.0,0.25,-2.3978952727983707,Easy
AR043,نوع الأسلوب في: لا تكذب,ARABIC,نهي,أمر,تحذير,تعجب,A,1.0,0.25,-1.2527629684953683,Easy
AR044,إعراب كلمة صادق في: الطالب صادق,ARABIC,نعت,خبر,حال,مفعول به,B,1.0,0.25,-1.446918982936325,Easy
AR045,جمع كلمة بيت هو,ARABIC,بيوت,أبيات,بيتون,بيتات,A,1.0,0.25,-0.4054651081081641,Medium
AR046,مرادف كلمة ذكي هو,ARABIC,غبي,فطن,جاهل,بليد,B,1.0,0.25,-0.03509131981126994,Medium
AR047,ضد كلمة شريف هو,ARABIC,نبيل,وضيع,كريم,عظيم,B,1.0,0.25,-4.304065093204168,Easy
AR048,ما نوع التفكير في: حل مسألة حسابية,ARABIC,خيالي,علمي,منطقي,ناقد,C,1.0,0.25,0.287682072451781,Medium
AR049,ما نوع الخبر في: الحق واضح,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-1.321755839982319,Easy
AR050,ما نوع الأسلوب في: ما أصدق القول,ARABIC,تعجب,نهي,أمر,استفهام,A,1.0,0.25,-1.6094379124341003,Easy
AR051,مرادف كلمة كريم هو,ARABIC,بخيل,سخي,فقير,شحيح,B,1.0,0.25,-0.5947071077466924,Medium
AR052,ضد كلمة واضح هو,ARABIC,جلي,غامض,صريح,بين,B,1.0,0.25,-0.48550781578170094,Medium
AR053,نوع الأسلوب في: هيا بنا نعمل,ARABIC,أمر,نهي,نداء,تعجب,A,1.0,0.25,4.304065093204168,Hard
AR054,إعراب كلمة مجتهدا في: عاد الطالب مجتهدا,ARABIC,حال,نعت,خبر,مفعول به,A,1.0,0.25,0.3746934494414106,Medium
AR055,جمع كلمة علم هو,ARABIC,علوم,أعلام,علمون,علماء,A,1.0,0.25,-0.6931471805599453,Medium
AR056,مرادف كلمة صبور هو,ARABIC,جزوع,حليم,غضوب,متهور,B,1.0,0.25,-1.7491998548092587,Easy
AR057,ضد كلمة سعيد هو,ARABIC,فرحان,حزين,مسرور,مبتهج,B,1.0,0.25,-4.304065093204168,Easy
AR058,ما نوع التفكير في: تحليل مشكلة,ARABIC,خيالي,علمي,منطقي,ناقد,C,1.0,0.25,-0.9409833444645267,Medium
AR059,ما نوع الخبر في: الطالب ناجح,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-1.6094379124341003,Easy
AR060,ما نوع الأسلوب في: نعم الخلق الأمانة,ARABIC,مدح,ذم,تعجب,استفهام,A,1.0,0.25,-0.8649974374866046,Medium
AR061,مرادف كلمة شجاع هو,ARABIC,جبان,مقدام,ضعيف,خائف,B,1.0,0.25,-4.304065093204168,Easy
AR062,ضد كلمة نافع هو,ARABIC,مفيد,ضار,صالح,مجد,B,1.0,0.25,-0.8109302162163291,Medium
AR063,نوع الأسلوب في: لا تهمل دروسك,ARABIC,نهي,أمر,نداء,تعجب,A,1.0,0.25,-0.8649974374866046,Medium
AR064,إعراب كلمة ناجح في: الطالب ناجح,ARABIC,نعت,خبر,حال,مفعول به,B,1.0,0.25,-1.7491998548092587,Easy
AR065,جمع كلمة بحر هو,ARABIC,بحور,بحار,بحوران,بحرات,A,1.0,0.25,4.304065093204168,Hard
AR066,مرادف كلمة فطن هو,ARABIC,غبي,ذكي,جاهل,بليد,B,1.0,0.25,-0.5596157879354228,Medium
AR067,ضد كلمة كريم هو,ARABIC,سخي,نبيل,بخيل,عظيم,C,1.0,0.25,-4.304065093204168,Easy
AR068,ما نوع التفكير في: ربط الأفكار ببعضها,ARABIC,خيالي,علمي,منطقي,ناقد,C,1.0,0.25,-0.8649974374866046,Medium
AR069,ما نوع الخبر في: العلم مفيد,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-0.060624621816434736,Medium
AR070,ما نوع الأسلوب في: ما أجمل الصدق,ARABIC,تعجب,نهي,أمر,استفهام,A,1.0,0.25,-4.304065093204168,Easy
AR071,مرادف كلمة هادئ هو,ARABIC,صاخب,ساكن,غاضب,سريع,B,1.0,0.25,-0.8649974374866046,Medium
AR072,ضد كلمة قوي هو,ARABIC,شديد,ضعيف,متين,صلب,B,1.0,0.25,-1.3862943611198904,Easy
AR073,نوع الأسلوب في: احترم معلمك,ARABIC,أمر,نهي,نداء,تعجب,A,1.0,0.25,-1.5314763709643888,Easy
AR074,إعراب كلمة صادقا في: عاش الرجل صادقا,ARABIC,حال,نعت,خبر,مفعول به,A,1.0,0.25,-0.4382549309311555,Medium
AR075,جمع كلمة طريق هو,ARABIC,طرق,طرقات,طرائق,طريقون,A,1.0,0.25,-1.8718021769015918,Easy
AR076,مرادف كلمة متقن هو,ARABIC,مهمل,بارع,ضعيف,كسول,B,1.0,0.25,-0.916290731874155,Medium
AR077,ضد كلمة شجاع هو,ARABIC,جبان,مقدام,جريء,باسل,A,1.0,0.25,-1.446918982936325,Easy
AR078,ما نوع التفكير في: مقارنة الأفكار,ARABIC,خيالي,علمي,منطقي,ناقد,C,1.0,0.25,0.6931471805599453,Medium
AR079,ما نوع الخبر في: الصدق فضيلة,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-2.3272777055844176,Easy
AR080,ما نوع الأسلوب في: بئس الخلق الكذب,ARABIC,مدح,ذم,تعجب,استفهام,B,1.0,0.25,-1.8718021769015918,Easy
AR081,مرادف كلمة عظيم هو,ARABIC,حقير,كبير,جليل,ضئيل,C,1.0,0.25,-0.6931471805599453,Medium
AR082,ضد كلمة نشيط هو,ARABIC,حيوي,كسول,مجتهد,سريع,B,1.0,0.25,-1.8718021769015918,Easy
AR083,نوع الأسلوب في: لا تهدر وقتك,ARABIC,نهي,أمر,نداء,تعجب,A,1.0,0.25,0.47000362924573574,Medium
AR084,إعراب كلمة جميل في: الجو جميل,ARABIC,نعت,خبر,حال,مفعول به,B,1.0,0.25,-1.6094379124341003,Easy
AR085,جمع كلمة علم هو,ARABIC,علوم,أعلام,علمون,علماء,A,1.0,0.25,-0.48550781578170094,Medium
AR086,مرادف كلمة سريع هو,ARABIC,بطيء,خاطف,متأخر,ثابت,B,1.0,0.25,0.3746934494414106,Medium
AR087,ضد كلمة نافع هو,ARABIC,مفيد,ضار,صالح,نافع,B,1.0,0.25,-1.5314763709643888,Easy
AR088,ما نوع التفكير في: استنتاج النتائج,ARABIC,خيالي,علمي,منطقي,ناقد,C,1.0,0.25,-0.5306282510621704,Medium
AR089,ما نوع الخبر في: الطالب مجتهد,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-1.6094379124341003,Easy
AR090,ما نوع الأسلوب في: نعم الخلق الصدق,ARABIC,مدح,ذم,تعجب,استفهام,A,1.0,0.25,-1.178654996341646,Easy
SC001,أي مما يلي يعد وحدة البناء الأساسية في الكائنات الحية؟,SCIENCE,النسيج,الخلية,العضو,الجهاز,B,1.0,0.25,-1.139434283188365,Easy
SC002,أي مما يلي يحدث عند انقسام الخلية انقسامًا متساويًا؟,SCIENCE,زيادة حجم الخلية,تكوين خلايا جنسية,تكوين خليتين متماثلتين,اختفاء النواة,C,1.0,0.25,-4.304065093204168,Easy
SC003,الوظيفة الأساسية للميتوكوندريا هي:,SCIENCE,تخزين الماء,إنتاج الطاقة,البناء الضوئي,نقل البروتين,B,1.0,0.25,-1.446918982936325,Easy
SC004,أي مما يلي يعد مثالًا على تفاعل كيميائي؟,SCIENCE,انصهار الثلج,تبخر الماء,احتراق الخشب,تكسر الزجاج,C,1.0,0.25,-0.22314355131420957,Medium
SC005,العنصر الذي رمزه الكيميائي O هو:,SCIENCE,الهيدروجين,الأكسجين,النيتروجين,الكربون,B,1.0,0.25,-2.5257286443082547,Easy
SC006,أي من الحالات الآتية تزداد فيها سرعة التفاعل الكيميائي؟,SCIENCE,انخفاض درجة الحرارة,زيادة مساحة السطح,نقص التركيز,انعدام العامل الحفاز,B,1.0,0.25,-2.4638532405901676,Easy
SC007,وحدة قياس القوة في النظام الدولي هي:,SCIENCE,الجول,الواط,النيوتن,الأمبير,C,1.0,0.25,0.6931471805599453,Medium
SC008,عند زيادة الكتلة وثبات القوة فإن العجلة:,SCIENCE,تزداد,تقل,تثبت,تنعدم,B,1.0,0.25,-0.8109302162163291,Medium
SC009,أي مما يلي يعد طاقة وضع؟,SCIENCE,السيارة المتحركة,الماء خلف السد,الرياح,الصوت,B,1.0,0.25,-0.4382549309311555,Medium
SC010,المسار الذي تسلكه الأرض حول الشمس يسمى:,SCIENCE,الدوران,المحور,المدار,المسافة,C,1.0,0.25,0.6931471805599453,Medium
SC011,الدم الذي يحمل الأكسجين من القلب إلى الجسم هو:,SCIENCE,الدم الوريدي,الدم الشرياني,الدم المختلط,الدم اللمفي,B,1.0,0.25,-0.8109302162163291,Medium
SC012,أي مما يلي يساهم في حماية الجسم من الأمراض؟,SCIENCE,كرات الدم البيضاء,كرات الدم الحمراء,الصفائح الدموية,البلازما,A,1.0,0.25,-0.09531017980432514,Medium
SC013,أي مما يلي يعد تغيرًا فيزيائيًا؟,SCIENCE,صدأ الحديد,احتراق الورق,تقطيع الخشب,تعفن الطعام,C,1.0,0.25,1.1631508098056809,Hard
SC014,عدد الإلكترونات في الذرة المتعادلة يساوي عدد:,SCIENCE,البروتونات,النيوترونات,المستويات,الأيونات,A,1.0,0.25,0.9007865453381897,Medium
SC015,أي مما يلي يزيد من شدة التيار الكهربائي؟,SCIENCE,زيادة المقاومة,تقليل الجهد,زيادة الجهد,زيادة طول السلك,C,1.0,0.25,0.6931471805599453,Medium
SC016,الجهاز المسؤول عن تبادل الغازات في الإنسان هو:,SCIENCE,الهضمي,الدوري,التنفسي,العصبي,C,1.0,0.25,-1.01160091167848,Easy
SC017,أي من الآتي يعد كائنًا ذاتي التغذية؟,SCIENCE,الإنسان,الفطر,النبات الأخضر,الحيوان,C,1.0,0.25,-1.446918982936325,Easy
SC018,عملية فقد الماء على هيئة بخار من أوراق النبات تسمى:,SCIENCE,النتح,الامتصاص,الإخراج,التنفس,A,1.0,0.25,-1.2527629684953683,Easy
SC019,أي مما يلي يعد حمضًا؟,SCIENCE,NaOH,HCl,NaCl,H2O,B,1.0,0.25,-1.01160091167848,Easy
SC020,العنصر الفلزي الوحيد السائل في درجة حرارة الغرفة هو:,SCIENCE,الحديد,الصوديوم,الزئبق,النحاس,C,1.0,0.25,-4.304065093204168,Easy
SC021,الجزء المسؤول عن التحكم في جميع أنشطة الخلية هو:,SCIENCE,الجدار الخلوي,الميتوكوندريا,النواة,الريبوسوم,C,1.0,0.25,0.0,Medium
SC022,أي مما يلي يعد مثالًا على التغير الكيميائي؟,SCIENCE,كسر الزجاج,ذوبان السكر,احتراق الفحم,تجمد الماء,C,1.0,0.25,0.6931471805599453,Medium
SC023,القوة التي تجذب الأجسام نحو مركز الأرض تسمى:,SCIENCE,الاحتكاك,الدفع,الجاذبية,الشد,C,1.0,0.25,-4.304065093204168,Easy
SC024,العنصر الذي عدده الذري 1 هو:,SCIENCE,الأكسجين,الهيليوم,الهيدروجين,النيتروجين,C,1.0,0.25,-1.0986122886681098,Easy
SC025,أي مما يلي يصف حركة الإلكترونات حول النواة؟,SCIENCE,عشوائية تمامًا,ثابتة لا تتحرك,في مستويات طاقة,داخل النواة,C,1.0,0.25,0.287682072451781,Medium
SC026,الجهاز الذي ينسق بين أعضاء الجسم هو:,SCIENCE,الدوري,العصبي,الهضمي,التنفسي,B,1.0,0.25,0.287682072451781,Medium
SC027,زيادة سرعة الجسم تعني:,SCIENCE,نقص طاقته الحركية,ثبات طاقته,زيادة طاقته الحركية,انعدام طاقته,C,1.0,0.25,-1.7491998548092587,Easy
SC028,أي مما يلي يعد قاعدة غذائية رئيسية؟,SCIENCE,الفيتامينات,الأملاح المعدنية,الكربوهيدرات,الماء,C,1.0,0.25,0.287682072451781,Medium
SC029,المادة التي تتكون من نوع واحد من الذرات تسمى:,SCIENCE,مركب,مخلوط,عنصر,محلول,C,1.0,0.25,-1.01160091167848,Easy
SC030,أي مما يلي يقلل من قوة الاحتكاك؟,SCIENCE,زيادة خشونة السطح,زيادة الوزن,تزييت السطح,زيادة السرعة,C,1.0,0.25,0.6931471805599453,Medium
SC031,العظام التي تتكون منها الذراع هي:,SCIENCE,قصيرة,مسطحة,طويلة,غير منتظمة,C,1.0,0.25,-0.22314355131420957,Medium
SC032,العلاقة بين الجهد وشدة التيار علاقة:,SCIENCE,عكسية,طردية,ثابتة,غير منتظمة,B,1.0,0.25,-1.2527629684953683,Easy
SC033,أي مما يلي مسؤول عن نقل الصفات الوراثية؟,SCIENCE,الريبوسومات,الكروموسومات,الميتوكوندريا,الجدار الخلوي,B,1.0,0.25,-1.2527629684953683,Easy
SC034,أي من الآتي يعد محلولًا؟,SCIENCE,الهواء,السكر,الملح,الحديد,C,1.0,0.25,4.304065093204168,Hard
SC035,وحدة قياس الجهد الكهربائي هي:,SCIENCE,الأمبير,الأوم,الفولت,الواط,C,1.0,0.25,-0.3629054936893683,Medium
SC036,الجزء الذي يمتص الماء والأملاح في النبات هو:,SCIENCE,الساق,الأوراق,الجذر,الثمرة,C,1.0,0.25,-2.2512917986064958,Easy
SC037,زيادة درجة الحرارة تؤدي إلى:,SCIENCE,نقص حركة الجزيئات,ثبات الحركة,زيادة حركة الجزيئات,توقف الحركة,C,1.0,0.25,-2.1690537003695236,Easy
SC038,أي مما يلي يعد مثالًا على الطاقة الكيميائية؟,SCIENCE,المصباح الكهربائي,الوقود,الصوت,الحرارة,B,1.0,0.25,-0.48550781578170094,Medium
SC039,القلب عضو ينتمي إلى جهاز:,SCIENCE,التنفسي,الهضمي,الدوري,العصبي,C,1.0,0.25,-0.3364722366212129,Medium
SC040,العنصر الذي يستخدم في صناعة الأسلاك الكهربائية هو:,SCIENCE,الزجاج,الخشب,النحاس,البلاستيك,C,1.0,0.25,-1.01160091167848,Easy
SC041,أي مما يلي يمثل وحدة الوراثة في الكائن الحي؟,SCIENCE,الخلية,الكروموسوم,الجين,النسيج,C,1.0,0.25,0.287682072451781,Medium
SC042,أي مما يلي يحدث عند زيادة الضغط على الغاز؟,SCIENCE,يزداد حجمه,يقل حجمه,تثبت كثافته,يتحول لسائل,B,1.0,0.25,-0.48550781578170094,Medium
SC043,العنصر الذي يكوّن معظم مكونات الهواء هو:,SCIENCE,الأكسجين,ثاني أكسيد الكربون,النيتروجين,الهيدروجين,C,1.0,0.25,-0.11778303565638364,Medium
SC044,الجهاز المسؤول عن ضبط توازن الجسم هو:,SCIENCE,العصبي,العضلي,الدوري,الهيكلي,A,1.0,0.25,0.47000362924573574,Medium
SC045,أي مما يلي يعد مثالًا على تغير فيزيائي؟,SCIENCE,تعفن الطعام,احتراق الخشب,ذوبان الملح,صدأ الحديد,C,1.0,0.25,1.791759469228055,Hard
SC046,العلاقة بين السرعة والزمن عند ثبوت المسافة علاقة:,SCIENCE,طردية,عكسية,ثابتة,غير منتظمة,B,1.0,0.25,-0.9409833444645267,Medium
SC047,أي مما يلي يدخل في تركيب العظام؟,SCIENCE,الكالسيوم,الصوديوم,البوتاسيوم,الحديد,A,1.0,0.25,-1.5040773967762742,Easy
SC048,العامل الذي يغير سرعة الجسم أو اتجاهه هو:,SCIENCE,الزمن,الكتلة,القوة,الحجم,C,1.0,0.25,-0.22314355131420957,Medium
SC049,أي مما يلي يعد مركبًا كيميائيًا؟,SCIENCE,الحديد,الأكسجين,الماء,الهواء,C,1.0,0.25,1.7227665977411035,Hard
SC050,الجهاز الذي يخلص الجسم من ثاني أكسيد الكربون هو:,SCIENCE,الدوري,الهضمي,التنفسي,العصبي,C,1.0,0.25,-2.0794415416798353,Easy
SC051,زيادة عدد الريبوسومات في الخلية يدل على:,SCIENCE,زيادة التنفس,زيادة الانقسام,زيادة تصنيع البروتين,زيادة الإخراج,C,1.0,0.25,0.9343092373768331,Medium
SC052,وحدة قياس الطاقة الحرارية هي:,SCIENCE,النيوتن,الجول,الأمبير,الواط,B,1.0,0.25,-0.6931471805599453,Medium
SC053,أي مما يلي من خصائص السوائل؟,SCIENCE,حجم وشكل ثابت,حجم ثابت وشكل متغير,شكل ثابت وحجم متغير,قابلة للانضغاط,B,1.0,0.25,-2.1690537003695236,Easy
SC054,العنصر الذي يدخل في صناعة البطاريات هو:,SCIENCE,النحاس,الزنك,الحديد,الألومنيوم,B,1.0,0.25,0.9808292530117262,Medium
SC055,القوة الناتجة عن تلامس سطحين تسمى:,SCIENCE,الشد,الدفع,الاحتكاك,الجاذبية,C,1.0,0.25,-1.7491998548092587,Easy
SC056,الجزء المسؤول عن امتصاص الغذاء في الإنسان هو:,SCIENCE,المعدة,الأمعاء الدقيقة,الأمعاء الغليظة,المريء,B,1.0,0.25,0.6931471805599453,Medium
SC057,أي مما يلي يزيد من سرعة التفاعل الكيميائي؟,SCIENCE,خفض الحرارة,تقليل التركيز,زيادة الحرارة,نقص السطح,C,1.0,0.25,-2.3272777055844176,Easy
SC058,المسار الذي تتحرك فيه الإلكترونات يسمى:,SCIENCE,المدار,المستوى,النواة,المجال,A,1.0,0.25,4.304065093204168,Hard
SC059,النسيج الذي يغطي الجسم ويحميه هو:,SCIENCE,الضام,العضلي,العصبي,الطلائي,D,1.0,0.25,0.47000362924573574,Medium
SC060,أي مما يلي يعد مثالًا على طاقة صوتية؟,SCIENCE,الضوء,الرعد,الحرارة,الرياح,B,1.0,0.25,-0.6931471805599453,Medium
SC061,الجزء المسؤول عن نقل الأوامر من المخ إلى العضلات هو:,SCIENCE,الأعصاب الحسية,الأعصاب الحركية,الشعيرات الدموية,الأوتار,B,1.0,0.25,0.287682072451781,Medium
SC062,أي مما يلي يؤدي إلى زيادة الضغط؟,SCIENCE,زيادة الحجم,نقص عدد الجزيئات,زيادة القوة المؤثرة,خفض درجة الحرارة,C,1.0,0.25,0.287682072451781,Medium
SC063,العنصر الذي يدخل في تكوين الماء هو:,SCIENCE,النيتروجين,الهيدروجين,الكلور,الصوديوم,B,1.0,0.25,-4.304065093204168,Easy
SC064,الجهاز الذي يحمي الجسم من الميكروبات هو:,SCIENCE,الهضمي,المناعي,العصبي,الهيكلي,B,1.0,0.25,-4.304065093204168,Easy
SC065,أي مما يلي يعد مثالًا على التغير الفيزيائي؟,SCIENCE,احتراق الورق,ذوبان الثلج,تعفن الطعام,تفاعل الحمض مع القاعدة,B,1.0,0.25,0.051293294387550266,Medium
SC066,العلاقة بين الشغل والقوة عند ثبوت المسافة علاقة:,SCIENCE,طردية,عكسية,ثابتة,منعدمة,A,1.0,0.25,-0.2954642128938362,Medium
SC067,العنصر الذي يساعد على تجلط الدم هو:,SCIENCE,الحديد,الكالسيوم,الصوديوم,البوتاسيوم,B,1.0,0.25,1.7227665977411035,Hard
SC068,القوة التي تنشأ نتيجة حركة الهواء تسمى:,SCIENCE,الاحتكاك,الضغط الجوي,الرياح,الدفع,C,1.0,0.25,-0.060624621816434736,Medium
SC069,أي مما يلي يعد محلولًا متجانسًا؟,SCIENCE,الزيت والماء,الرمل والماء,الهواء,الطين,C,1.0,0.25,4.304065093204168,Hard
SC070,العضو المسؤول عن إخراج البول هو:,SCIENCE,الكبد,المثانة,الرئة,المعدة,B,1.0,0.25,-1.7491998548092587,Easy
SC071,زيادة عدد الكروموسومات في الخلية ينتج عن:,SCIENCE,الانقسام المتساوي,الانقسام الميوزي,خلل في الانقسام,النمو,C,1.0,0.25,4.304065093204168,Hard
SC072,وحدة قياس المقاومة الكهربائية هي:,SCIENCE,الفولت,الأمبير,الأوم,الواط,C,1.0,0.25,-0.6931471805599453,Medium
SC073,أي مما يلي من خصائص المواد الصلبة؟,SCIENCE,شكل وحجم ثابت,شكل ثابت وحجم متغير,شكل متغير وحجم ثابت,قابلة للانضغاط,A,1.0,0.25,-0.7654678421395712,Medium
SC074,العنصر الذي يستخدم في صناعة الأسلاك لمرونته هو:,SCIENCE,الحديد,النحاس,الزنك,الألومنيوم,B,1.0,0.25,-0.7827593392496321,Medium
SC075,القوة التي تمنع انزلاق الأجسام تسمى:,SCIENCE,الجاذبية,الاحتكاك,الشد,الدفع,B,1.0,0.25,-0.7827593392496321,Medium
SC076,الجزء المسؤول عن هضم البروتينات في المعدة هو:,SCIENCE,الأميليز,البيبسين,الليباز,المالتيز,B,1.0,0.25,0.4989911661189879,Medium
SC077,أي مما يلي يقلل من سرعة التفاعل الكيميائي؟,SCIENCE,زيادة التركيز,إضافة عامل حفاز,خفض درجة الحرارة,زيادة مساحة السطح,C,1.0,0.25,-0.8649974374866046,Medium
SC078,المسافة الكلية التي يقطعها الجسم تسمى:,SCIENCE,الإزاحة,السرعة,المسافة,العجلة,C,1.0,0.25,0.051293294387550266,Medium
SC079,النسيج الذي يربط العضلات بالعظام هو:,SCIENCE,الرباط,الوتر,الغضروف,النسيج الضام,B,1.0,0.25,1.791759469228055,Hard
SC080,أي مما يلي يعد مصدرًا للطاقة الشمسية؟,SCIENCE,الرياح,الأمواج,الشمس,الفحم,C,1.0,0.25,-0.8649974374866046,Medium
